text	label
周围用户是否正常】:不清楚【经度】:114,纬度】:30,地址】:武汉市桥口区解放大道213号桥口区行政审批大楼1栋11楼1102室【地址id,基站id,受理号码,故障预处理】:本地无法被叫【故障场景】:所有位置【故障现象】:有信号，正常【故障发生时间】,点【检测BOSS侧付费模式和欠费情况】:后付费【是否存在异常话单】:无异常话单【HLR用户是否登网（关机状态检测,关机【HLR漫游权限查询】:国内漫游,检测BOSS侧停开机状态】:开机【检测30天内在途工单】:30天内无在途单,检测HLR侧停开机状态】:开机【MSCID位置（仅供内部参考,无位置信息【呼叫转移】:无呼叫转移【呼入权限】:不限制【检测无线网状况是否故障】:正常【检测HSS中VoLTE数据状态】:正常【检测VOLTE平台用户状态】:用户可以正常呼出呼入【检测ENUM开户数据是否存在】:ENUM开户数据存在【检测用户volte注册状态】:用户已注册VOLTE功能未检测到MSCID位置信息，已建议用户换机换卡，用户未恢复，用户称从携号转网起就不能接到电话，请核实。	本地无法主被叫/上网
用户号码认为,在，,对用户号码进行骚扰，这几个号码经常给用户打电话骚扰推广游戏，已建议用户开通天翼防骚扰进行屏蔽，内容:，通话时长:3分钟内，接收电话形式:人工拨打。举报时间,备注:用户要求举报核查处理:被举报号码:（无法识别归属地,无法查询归属地），请派单信安部处理。	用户接到骚扰 / 诈骗电话
1.否认办理业务:否认订购5G升级会员2.受理渠道:集团电渠快捷订购专用3.订单记录:购物车流水:4.机主身份证:5.用户要求:否认办理，根据办理订单解释，用户不认可。	否认改套餐、办理业务
短信故障现象:无法收发；短信拦截类型:拦截；测试短信情况:不涉及,工单处理时限提醒话术:我们马上核实处理，36小时内会有专人联系您，用户要求尽快回复。	短信无法收发
反映，在日到营业厅缴纳100元并参与悦me升4K专属礼包，师傅上门安装ITV后，导致其宽带无法观看，师傅给予用户两个方案建议，一个是重新拉跟线（但用户此地址不具备）。二是买了光猫设备来使用，用户对此不满，称是电信方的原因，未告知自己的设备宽带和ITV使用，只能二选一。请协助处理终端类型:光纤终端；终端来源:自购；赠送\购买时间地点,投诉类型,具体情况描述:武汉市洪山区珞狮南路澳新学院住宅楼2单元6楼601室。	安装宽带、itv、摄像头
省网优预,5G套餐，开通NSA和SA功能。一键检测数据正常，无欠费、无降速，10时29分/11时00分未接，11时21分致电用户称自己现在忙，要求后期晚上18点后联系。	本地无法主被叫/上网
1.主叫号码,2.受理号码,3.联系号码,4.生单原因宣传与活动不一致5.订单号XW6.用户需求:,用户套餐没有超出，但是产生了欠费，对此意见很大，称当时办理时说的是半年免费。	宣传与活动不一致
用户号码认为在，,对用户号码进行骚扰，用户要求举报此号码,内容:，通话时长:3分钟内，接收电话形式:人工拨打。举报时间,备注:用户要求举报核查处理:被举报号码:（无法识别归属地,无法查询归属地），请派单信安部处理。	用户接到骚扰 / 诈骗电话
短信故障现象:无法收发；短信拦截类型:拦截；测试短信情况:不涉及,工单处理时限提醒话术:我们马上核实处理，36小时内会有专人联系您。	短信无法收发
反映自己办理宽带移机，师傅告知用户自己的光猫在新地址不匹配，需要更换另一种光猫才能使用，用户要求更换，请核实终端类型:光纤终端；终端来源:赠送；赠送\购买时间地点,投诉类型,具体情况描述:反映自己办理宽带移机，师傅告知用户自己的光猫在新地址不匹配，需要更换另一种光猫才能使用，用户要求更换。	安装宽带、itv、摄像头
用户要求取消电子渠道活动-6个月合约。	客户想要取消电子渠道活动-6个月合约,请核实一下
周围用户是否正常】:不清楚【经度】:112,纬度】:30,地址】:荆州市松滋市乐乡大道【地址id,基站id,受理号码,故障预处理】:本地无法被叫【故障场景】:所有位置【故障现象】:有信号，正常【故障发生时间】,点【检测BOSS侧付费模式和欠费情况】:后付费【是否存在异常话单】:无异常话单【HLR用户是否登网（关机状态检测,关机【HLR漫游权限查询】:国内漫游,检测BOSS侧停开机状态】:开机【检测30天内在途工单】:30天内无在途单,检测HLR侧停开机状态】:开机【MSCID位置（仅供内部参考,无位置信息【呼叫转移】:无呼叫转移【呼入权限】:不限制【检测无线网状况是否故障】:正常【检测HSS中VoLTE数据状态】:正常【检测VOLTE平台用户状态】:查询失败【检测ENUM开户数据是否存在】:查询失败【检测用户volte注册状态】:用户未注册VOLTE功能未检测到MSCID位置信息，已建议用户换机换卡，用户未恢复。	本地无法主被叫/上网
用户对于此号码，9月3日停机后产生的费用不认可，已向用户解释集团下发沉默号卡送停,强烈要求将停机后产生的费用退还给用户，已向用户解释可酌情为用户处理现在产生的欠费，但用户不接受，要求将9月之后扣除之前交的话费的部分，也退还给用户，多次，用户不认可,争议类型:月租费争议争议费用情况:大于5元争议月份:争议扣费记录:,胡冬明,套餐费_国内通话费,正常欠费,套餐定价计划:畅享99元套餐。	费用争议
LTE国内流量费(自动升档)1,十全十美59元套餐,用户是老人，对上月流量超出产生的扣费30元不认可，请尽快联系用户进行处理争议类型:用户否认使用争议费用情况:大于5元争议月份:11月争议扣费记录,LTE国内流量费(自动升档)1,十全十美59元套餐。	费用争议
已发号测试短信，用户接收成功但不认可自助排障。	短信无法接收
用户要求取消电子渠道活动-6个月合约，不认可营业厅办理。	客户想要取消电子渠道活动-6个月合约,请核实一下
用户号码认为在，,对用户号码进行骚扰，内容:，通话时长:3分钟内，接收电话形式:人工拨打。举报时间,备注:用户要求举报核查处理:被举报号码:（中国移动-广东）请派单省业务平台维护中心处理。	用户接到骚扰 / 诈骗电话
对对宽带没有使用期间的欠费不认可,争议类型:月租费争议争议费用情况:大于5元争议月份:争议扣费记录:视讯宽带（100M，天翼高清4K湖北版，1399元年缴）(F)套餐定价计划:-元。	要求退费
异地销户，流水:请派单至黄梅营业厅办理，请接单人员联系用户办理拆机业务，如不能办理请写明原因，号码归属地和受理销户地:至少有一方为湖北；是否已办理异地销户:是；申请时间,7个工作日处理时限:用户认可（直接答复,身份证号码归属地:湖北省黄冈市,受理销户营业厅:湖北省武汉市。	用户需办理异地销户
用户需要复通该号卡,停机类型:骚扰单停；处理工号:hb；通话频繁的原因（不涉及填无）:房产中介工作原因；单位全称（个人填个人）:个人；能否提供工作证明:个人使用，不涉及；机主身份姓名:王术源；机主身份证辅助项（三选一）:开卡地市；用户不认可项:。	身份核验复机问题
客户来电反映已经缴纳了费用，还是ITV还是欠费停机，麻烦核实处理。	费用争议
客户，通过自有营业厅咨询/办理业务时，对办理差错表示不满意，要求核查处理，客服代表安抚无效，请协助处理,业务类型:销售品成员变更【5G云套餐十全十美169元档,营业厅名称:汉川市西正街营业厅；工作人员工号/特征:肖葆；客户经理电话或姓名:无法提供；存在的服务问题:副卡折扣,5G用户称办理副卡时营业厅告知副卡都不收费，查询11月17日办理副卡折扣并未生效，显示12月生效已解释，用户称当时营业厅告知立即生效不收费,请协助处理；5G用户称办理副卡时营业厅告知副卡都不收费，查询11月17日办理副卡折扣并未生效，显示12月生效已解释，用户称当时营业厅告知立即生效不收费,请协助处理。	投诉营业厅
无法提供资料，决绝配合，要求直接开机，请协助处理停开机类型（停机原因-停开机记录区查-看详情）:身份核验(语音)单停；处理工号（停机原因-停开机记录区查-看详情）:hbunfraud02。	身份核验复机问题
周围用户是否正常】:是【经度】:111,纬度】:31,地址】:宜昌市远安县旧县镇旧县村二组800号村委会私房02(自编门牌地址id,基站id,受理号码,故障预处理】:本地无法主被叫【故障场景】:所有位置【故障现象】:信号弱，不稳定【故障发生时间】,点【检测BOSS侧付费模式和欠费情况】:后付费【是否存在异常话单】:无异常话单【HLR用户是否登网（关机状态检测,关机【HLR漫游权限查询】:国内漫游,检测BOSS侧停开机状态】:开机【检测30天内在途工单】:30天内无在途单,检测HLR侧停开机状态】:开机【呼叫权限】:国内呼叫【MSCID位置（仅供内部参考,检测无异常，有位置信息:湖北省宜昌【检测无线网状况是否故障】:正常【检测是否是5G用户】:是5G用户【检测当前是否有拨异网号码超阈值记录】:拨异网号码语音时长没有达阀值【检测HSS中VoLTE数据状态】:查询失败,检测VOLTE平台用户状态】:查询失败,检测ENUM开户数据是否存在】:正常【检测用户volte注册状态】:正常重启手机或拔插卡，用户未恢复反映接打电话容易断线，请尽快联系处理。	语音或上网无法使用
短信故障现象:无法收发；短信拦截类型:未拦截；测试短信情况:不涉及,生单原因:短信权限问题导致无法发送,工单处理时限提醒话术:我们马上核实处理，36小时内会有专人联系您。	短信无法收发
客户，通过合作营业厅咨询/办理业务时，对解释说明不清表示不满意，要求核查处理，客服代表安抚无效，请协助处理,业务类型:订购销售品【5G云套餐十全十美129元档,营业厅名称:宜昌城区中通服九安城社区店；工作人员工号/特征:朱莉莉；存在的服务问题:套餐活动没有解释清楚,无；通过营业厅办理了改5G云套餐十全十美129元档，营业厅的工作人员告知用户改套餐可以领价值500元的电子产品，并有两年的协议电子产品要使用两年的时间，用户办理改套餐完成后，营业厅的工作人员告知用户系统办不了，而且电子产品也没有给用户，也没有告知用户具体原因导致无法领取电子产品，用户感觉被骗了,办理渠道。	办理业务时，对解释说明不清表示不满意
欠费单停,处理成功,处理成功,PLCA可用余额:元号码状态:欠费单停要求尽快开机，用户（）来电反映宽带(产品类型)被停机,经核实该账户下有可用余额元，但当前状态是停机。	有余额被停机
用户称是企业用户一季度会有回访电话可能会打500-600个电话，不认可骚扰停机，也不没有时间去办理此业务，希望能上线开机,反馈停机类型:骚扰单停；处理工号:wh；通话频繁的原因（不涉及填无）:用户称是企业用户一季度会有回访电话可能会打500-600个电话，不认可骚扰停机，也不没有时间去办理此业务，希望能上线开机,反馈；单位全称（个人填个人）:武汉世纪环亚综合服务有限公司；能否提供工作证明:可以（工作证、盖公章的证明书、工作照片等,机主身份姓名:武汉世纪环亚综合服务有限公司；机主身份证号:F；辅助项（三选一）:开卡地市；用户不认可项:停机原因。	身份核验复机问题
用户称对异常停机不认可，表示都是正常的工作电话，不愿意提供任何资料，要求直接开通，并具体的停机原因，要求赔偿不能使用期间的费用，同时有越级投诉的倾向，要求处理并回复！停开机类型（停机原因-停开机记录区查-看详情）:身份核验(语音)单停；处理工号（停机原因-停开机记录区查-看详情）:hbunfraud02；无法到厅开机原因:不愿意。	身份核验复机问题
短信故障现象:无法收发；短信拦截类型:未拦截；测试短信情况:不涉及,生单原因:短信权限问题导致无法发送,工单处理时限提醒话术:我们马上核实处理，36小时内会有专人联系您。	短信无法收发
省网优预,致电用户称手机在所有位置2G语音无法被叫部分电话提示关机，一键检测数据正常，费用正常，无异常话务拦截，已开通VOLTE，未使用VOTLE，VOLTE平台查询用户可以正常呼入呼出,表示换卡了无效,用户急,请进一步核实处理并回复周围用户是否正常】:不清楚【经度】:115,纬度】:30,地址】:黄冈市罗田县白莲河乡街道今日超市ONU1-4【地址id,基站id,50【受理号码,故障预处理】:本地无法被叫【故障场景】:所有位置【故障现象】:有信号，正常【故障发生时间】,点【检测BOSS侧付费模式和欠费情况】:后付费【是否存在异常话单】:无异常话单【HLR用户是否登网（关机状态检测,关机【HLR漫游权限查询】:查询失败【检测BOSS侧停开机状态】:开机【检测30天内在途工单】:30天内无在途单【检测HLR侧停开机状态】:开机【MSCID位置（仅供内部参考,检测无异常，有位置信息:湖北省黄冈【呼叫转移】:默认呼叫前转至【呼入权限】:不限制【检测无线网状况是否故障】:正常【检测HSS中VoLTE数据状态】:正常【检测VOLTE平台用户状态】:查询失败【检测ENUM开户数据是否存在】:查询失败【检测用户volte注册状态】:用户未注册VOLTE功能MSCID位置信息已建议用户换机换卡，用户未恢复，反映某些号码都无法接通，重启及换机换卡测试无效，请核实回复。	本地无法主被叫/上网
用户要求线上复机停开机类型（停机原因-停开机记录区查-看详情）:二次实人核验单停；处理工号（停机原因-停开机记录区查-看详情）:hbunfraud01；无法到厅开机原因:不方便去营业厅。	用户反应机主在外地,需要线上复机！,用户要求线上开机,用户意见很大有越级投诉倾向,请核实联系
短信故障现象:无法收发；短信拦截类型:未拦截；测试短信情况:不涉及,生单原因:短信权限问题导致无法发送,工单处理时限提醒话术:我们马上核实处理，36小时内会有专人联系您。	短信无法收发
短信故障现象:无法收发；短信拦截类型:拦截；测试短信情况:不涉及,工单处理时限提醒话术:我们马上核实处理，36小时内会有专人联系您。	短信无法收发
用户反映去年参加购机享翼支付权益(36期)活动，用户反映当时未办理翼支付自动代交业务导致分月返还翼支付权益金30元一直未自动代交充值30元,另用户反映当时未办理翼支付自动代交导致失效了多张30元翼支付权益金,用户强烈要求处理补回失效的多张30元翼支付权益金，请核实后尽快处理回复,投诉类型:营销活动（返利、宣传、规则问题）问题类型:参加活动未返利。	翼支付/橙分期活动问题
已发号测试短信，用户接收失败,所有短信。	测试短信接收失败
故障发生时间,省际漫游投诉问题:上网；漫入号码归属省:安徽-合肥；号码状态:号码正常\用户不配合；手机是否启用4G:已启用；手机终端类型:4G终端；漫入地4G信号覆盖情况:有4G信号覆盖；故障地址:武汉市东西湖区柏泉张柏路化工厂；地图经度:114,地图纬度:30,称此号在武汉市东西湖区柏泉张柏路附近使用网络完全不能用，已和当地客服核实正常，周围用户正常，回复。	漫游语音/上网问题
卡给家里人使用目前人卡不在同一个地方要求后台协助解除，请尽快联系用户。停开机类型（停机原因-停开机记录区查-看详情）:停机标识:大数据分析号码身份核验；处理工号（停机原因-停开机记录区查-看详情）:hbunfraud02；无法到厅开机原因:人卡分离。	异常停机不认可
用户号码状态正常，发送号码正确且未被对方设置拦截，不认可配合换机测试，-07。	号码正常，短信未拦截，不配合换机测试
要求手机快欠费了多发短信提醒客户,投诉问题场景:话费、流量提醒问题；订购记录场景查询结果:提醒类不涉及；综合提醒平台查询结果:与用户描述一致；接收/发送时间:无涉及。	短信提醒问题
用户号码认为.在,对用户号码进行骚扰，要求尽快处理，内容:，通话时长:3分钟内，接收电话形式:人工拨打。举报时间,对前期工单不认可，意见很大，表示一直未接到过工作人员电话。	用户接到骚扰 / 诈骗电话
1.主叫号码,2.受理号码,3.联系号码,4.生单原因宣传与活动不一致5.订单号XW6.用户需求:,入网没有办理尊享特惠流量包流量包，要求公司处理。	宣传与活动不一致
1.主叫号码,2.受理号码,3.联系号码,4.生单原因宣传与活动不一致5.订单号XW6.用户需求:,用户称当时宣传19元一个月到手上查询是39元一个月，欺骗消费者。	宣传与活动不一致
称本机异常停机，因本机不在归属地，无法进行营业厅身份核验，现要求线上复机，请核实，停机类型:骚扰单停；处理工号:hb；通话频繁的原因（不涉及填无）:办公；单位全称（个人填个人）:苏州森淼人力资源；能否提供工作证明:可以（工作证、盖公章的证明书、工作照片等,机主身份姓名:李飞燕；机主身份证辅助项（三选一）:开卡地市；用户不认可项:停机原因。	骚扰单停
用户积分兑换入口:省内积分商城,积分兑换物品类型:优品包；积分兑换渠道:湖北电信ITV综合业务管理平台；积分兑换物品:优品影视月包；积分兑换单积分争议类型:礼品质量问题,积分异动日期为:，异动为:兑换/清零，异动积分为:，积分值为:0，兑换凭单号为:，兑换物品为:优品影视月包，兑换渠道为:湖北电信ITV综合业务管理平台IM用户称积分订单关闭了，积分也没退，系统系统显示是兑换成功,故在此记单，请帮忙协助处理。	积分兑换
用户号码状态正常，发送号码正确且未被对方设置拦截，不认可配合换机测试，-08。	号码正常，短信未拦截，不配合换机测试
用户号码状态正常，发送号码正确且未被对方设置拦截，不认可配合换机测试，-06。	号码正常，短信未拦截，不配合换机测试
用户反映他的宽带之前两个月出现了一些故障,导致他的宽带费用照样在扣,用户要求补偿他之前故障期间产生的宽带月租费。	费用争议
反映去年家里没有电视所以没安装ITV，现在需要工作人员上门安装，来电首页-催装移场景无法提单,优先通过催装移场景诊断:是（请优先通过来电首页-催装移场景处理,流程是否竣工:是；是否已上门安装:否；受理订单产品类型:ITV；业务受理类型:装机。	安装宽带、itv、摄像头
